formula,atom a,atom b,a,b,c,alpha,beta,gamma,bandgap,lowest distortion,vpa,mub,e_form,eform oxygen,e_hull,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
EuHfO3,Eu,Hf,5.623,5.727,8.01,90,90,90,4.521,orthorhombic,12.898,0,-3.844,6.69,-0.182,Eu1 Hf1 O3,8,72,64,31.8,28.56,8,25,87,62,66.2,24.96,87,15.9994,178.49,162.4906,75.69044,71.629248,15.9994,54.8,2506,2451.2,753.08,837.936,54.8,3,16,13,11,6,16,2,6,4,3.6,1.92,2,66,198,132,114.2,57.84,66,1.185,3.44,2.255,2.561,1.0548,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,2,2,0.4,0.64,0,0,14,14,4.2,5.04,0,6,18,12,9,3.6,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,8,8,1.6,2.56,0,0,7,7,1.4,2.24,0,2,8,6,4.2,2.64,2,9.105,36.46,27.355,17.195,9.708,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,91.8,95.76,12,Eu2+1 Hf4+1 O2-3,-2,4,6,3.380617019
EuThO3,Eu,Th,6.017,6.239,8.697,90,90,90,4.512,orthorhombic,16.323,0,-3.803,5.479,0.097,Eu1 Th1 O3,8,90,82,35.4,32.88,8,16,87,71,60.4,31.92,87,15.9994,232.03806,216.03866,86.400052,84.4807824,15.9994,54.8,2023,1968.2,656.48,722.016,54.8,3,16,13,10.8,6.24,16,2,7,5,3.8,2.16,2,66,206,140,120.4,65.28,66,1.185,3.44,2.255,2.561,1.0548,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,2,2,0.4,0.64,0,0,7,7,1.4,2.24,0,4,9,5,6.2,1.12,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,8,8,1.6,2.56,0,0,7,7,1.4,2.24,0,2,8,6,4.2,2.64,2,9.105,36.46,27.355,19.229,12.1488,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98,103.2,12,Eu2+1 Th4+1 O2-3,-2,4,6,3.380617019
DyScO3,Dy,Sc,5.422,5.711,7.886,90,90,90,4.69,orthorhombic,12.208,0,-3.803,5.05,0.026,Dy1 Sc1 O3,8,66,58,22.2,17.52,8,11,87,76,60.6,31.68,87,15.9994,162.5,146.5006,51.0908224,44.56367104,15.9994,54.8,1814,1759.2,732.68,813.456,54.8,3,16,13,10.8,6.24,16,2,6,4,3.2,1.44,2,66,192,126,112,55.2,66,1.22,3.44,2.22,2.58,1.032,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,10,10,2,3.2,0,3,12,9,6.6,2.16,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,4,4,0.8,1.28,0,2,9,7,3.8,2.16,2,9.105,31.24,22.135,16.158,8.4636,9.105,0,0,0,0,0,0,0,6.35E-06,6.35E-06,1.27E-06,2.03E-06,0,12,194,182,84.8,87.36,12,Dy3+1 Sc3+1 O2-3,-2,3,5,3.273268354
LaTmO3,La,Tm,5.814,6.017,8.367,90,90,90,4.59,orthorhombic,14.634,0,-3.8,5.056,0.022,La1 Tm1 O3,8,69,61,30,26.4,8,13,87,74,62.2,29.76,87,15.9994,168.93421,152.93481,71.167576,66.2018112,15.9994,54.8,1818,1763.2,635.08,696.336,54.8,3,16,13,10.8,6.24,16,2,6,4,3.6,1.92,2,66,207,141,119,63.6,66,1.1,3.44,2.34,2.534,1.0872,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,13,13,2.6,4.16,0,3,15,12,7.2,3.12,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,1,1,0.2,0.32,0,1,9,8,3.2,2.32,2,9.105,36.8975,27.7925,18.7985,11.6322,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,La3+1 Tm3+1 O2-3,-2,3,5,3.273268354
AcLuO3,Ac,Lu,5.905,6.047,8.429,90,90,90,4.709,orthorhombic,15.05,0,-3.793,5.945,-0.022,Ac1 Lu1 O3,8,89,81,36.8,34.56,8,14,87,73,63.2,28.56,87,15.9994,227,211.0006,89.993,88.79232,15.9994,54.8,1936,1881.2,684.68,755.856,54.8,3,16,13,10.8,6.24,16,2,7,5,3.8,2.16,2,66,215,149,120,64.8,66,1.1,3.44,2.34,2.538,1.0824,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.4,0.48,0,0,14,14,2.8,4.48,0,3,17,14,7.6,3.76,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,3.6,4.32,0,0,0,0,0,0,0,2,9,7,4.8,3.36,2,9.105,44.5125,35.4075,20.1385,13.2402,9.105,0,0,0,0,0,0,0,0.0022471,0.0022471,0.00044942,0.000719072,0,12,225,213,91,94.8,12,Ac3+1 Lu3+1 O2-3,-2,3,5,3.273268354
GdScO3,Gd,Sc,5.462,5.744,7.903,90,90,90,4.618,orthorhombic,12.399,0,-3.789,5.136,0.011,Gd1 Sc1 O3,8,64,56,21.8,16.88,8,11,87,76,59.8,32.64,87,15.9994,157.25,141.2506,50.0408224,42.88367104,15.9994,54.8,1814,1759.2,712.88,789.696,54.8,3,16,13,10.8,6.24,16,2,6,4,3.2,1.44,2,66,196,130,112.8,56.16,66,1.2,3.44,2.24,2.576,1.0368,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.4,0.48,0,0,7,7,1.4,2.24,0,3,10,7,6.2,1.52,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,3.6,4.32,0,0,7,7,1.4,2.24,0,2,16,14,6.2,5.04,2,9.105,32.05,22.945,16.32,8.658,9.105,0,0,0,0,0,0,0,6.35E-06,6.35E-06,1.27E-06,2.03E-06,0,12,194,182,84.8,87.36,12,Gd3+1 Sc3+1 O2-3,-2,3,5,3.273268354
LaScO3,La,Sc,5.653,5.799,8.078,90,90,90,4.099,orthorhombic,13.241,0,-3.789,5.579,-0.029,La1 Sc1 O3,8,57,49,20.4,14.88,8,11,87,76,57,36,87,15.9994,138.90547,122.90607,46.3719164,37.01342144,15.9994,54.8,1814,1759.2,634.28,695.376,54.8,3,16,13,10.8,6.24,16,2,6,4,3.2,1.44,2,66,207,141,115,58.8,66,1.1,3.44,2.34,2.556,1.0608,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,3,6,3,4.8,1.44,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,3.6,4.32,0,0,0,0,0,0,0,2,9,7,4.8,3.36,2,9.105,36.8975,27.7925,17.2895,9.8214,9.105,0,0,0,0,0,0,0,6.35E-06,6.35E-06,1.27E-06,2.03E-06,0,12,194,182,84.8,87.36,12,La3+1 Sc3+1 O2-3,-2,3,5,3.273268354
LaLuO3,La,Lu,5.841,5.841,5.841,60.8,60.8,60.8,4.557,rhombohedral,14.353,0,-3.782,5.238,0.055,La1 Lu1 O3,8,71,63,30.4,26.88,8,13,87,74,63,28.8,87,15.9994,174.9668,158.9674,72.374094,67.6496328,15.9994,54.8,1936,1881.2,658.68,724.656,54.8,3,16,13,10.8,6.24,16,2,6,4,3.6,1.92,2,66,207,141,118.4,62.88,66,1.1,3.44,2.34,2.538,1.0824,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.4,0.48,0,0,14,14,2.8,4.48,0,3,17,14,7.6,3.76,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,3.6,4.32,0,0,0,0,0,0,0,2,9,7,4.8,3.36,2,9.105,36.8975,27.7925,18.6155,11.4126,9.105,0,0,0,0,0,0,0,0.0022471,0.0022471,0.00044942,0.000719072,0,12,194,182,84.8,87.36,12,La3+1 Lu3+1 O2-3,-2,3,5,3.273268354
LaErO3,La,Er,5.832,6.04,8.409,90,90,90,4.586,orthorhombic,14.809,0,-3.776,4.912,0.028,La1 Er1 O3,8,68,60,29.8,26.16,8,13,87,74,61.8,30.24,87,15.9994,167.259,151.2596,70.832534,65.7997608,15.9994,54.8,1770,1715.2,625.48,684.816,54.8,3,16,13,10.8,6.24,16,2,6,4,3.6,1.92,2,66,207,141,118.8,63.36,66,1.1,3.44,2.34,2.532,1.0896,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,12,12,2.4,3.84,0,3,14,11,7,2.8,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,2,2,0.4,0.64,0,2,9,7,3.4,2.24,2,9.105,36.8975,27.7925,18.9595,11.8254,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,La3+1 Er3+1 O2-3,-2,3,5,3.273268354
AcTmO3,Ac,Tm,5.94,6.089,8.494,90,90,90,4.565,orthorhombic,15.361,0,-3.772,5.793,-0.016,Ac1 Tm1 O3,8,89,81,36.4,34.08,8,14,87,73,62.4,29.52,87,15.9994,227,211.0006,88.786482,87.3444984,15.9994,54.8,1818,1763.2,661.08,727.536,54.8,3,16,13,10.8,6.24,16,2,7,5,3.8,2.16,2,66,215,149,120.6,65.52,66,1.1,3.44,2.34,2.534,1.0872,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,13,13,2.6,4.16,0,3,15,12,7.2,3.12,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,1,1,0.2,0.32,0,1,9,8,3.2,2.32,2,9.105,44.5125,35.4075,20.3215,13.4598,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Ac3+1 Tm3+1 O2-3,-2,3,5,3.273268354
