formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
RhNbO3,Rh,Nb,cubic,-1.463,0.675,0.4,12.642,0.0,3.983,3.983,3.983,90.0,90.0,90.0,2.003,Rh1 Nb1 O3,8.0,45.0,37.0,22.0,16.8,8.0,47.0,87.0,40.0,73.4,16.32,87.0,15.9994,102.9055,86.9061,48.762016,39.3151392,15.9994,54.8,2750.0,2695.2,1030.28,1170.576,54.8,5.0,16.0,11.0,12.4,4.32,16.0,2.0,5.0,3.0,3.2,1.44,2.0,66.0,164.0,98.0,100.8,41.76,66.0,1.6,3.44,1.84,2.84,0.72,3.44,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,8.0,8.0,2.4,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,6.4,1.04,6.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,6.0,6.0,1.6,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.2,1.52,2.0,9.105,18.18,9.075,11.827,3.2664,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,Rh3+1 Nb3+1 O2-3,-2.0,3.0,5.0,3.273268354
RhNbO3,Rh,Nb,cubic,-1.463,0.675,0.4,12.642,0.0,3.983,3.983,3.983,90.0,90.0,90.0,2.003,Rh1 Nb1 O3,8.0,45.0,37.0,22.0,16.8,8.0,47.0,87.0,40.0,73.4,16.32,87.0,15.9994,102.9055,86.9061,48.762016,39.3151392,15.9994,54.8,2750.0,2695.2,1030.28,1170.576,54.8,5.0,16.0,11.0,12.4,4.32,16.0,2.0,5.0,3.0,3.2,1.44,2.0,66.0,164.0,98.0,100.8,41.76,66.0,1.6,3.44,1.84,2.84,0.72,3.44,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,8.0,8.0,2.4,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,6.4,1.04,6.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,6.0,6.0,1.6,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.2,1.52,2.0,9.105,18.18,9.075,11.827,3.2664,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,Rh3+1 Nb3+1 O2-3,-2.0,3.0,5.0,3.273268354
PtCaO3,Pt,Ca,rhombohedral,-1.463,0.38,-0.001,14.441,0.544,6.031,6.031,6.031,57.0,57.0,57.0,-10.427,Pt1 Ca1 O3,8.0,78.0,70.0,24.4,21.44,8.0,7.0,87.0,80.0,66.2,24.96,87.0,15.9994,195.084,179.0846,56.63204,55.380784,15.9994,54.8,2041.4,1986.6,664.16,731.232,54.8,2.0,16.0,14.0,12.0,4.8,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,176.0,110.0,102.0,43.2,66.0,1.0,3.44,2.44,2.72,0.864,3.44,1.0,2.0,1.0,1.8,0.32,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,14.0,14.0,2.8,4.48,0.0,2.0,24.0,22.0,8.8,6.08,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6,0.64,2.0,9.105,37.77,28.665,16.021,8.6996,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24,12.0,Pt4+1 Ca2+1 O2-3,-2.0,4.0,6.0,3.380617019
GeTbO3,Ge,Tb,cubic,-1.46,1.17,0.201,15.855,0.0,4.296,4.296,4.296,90.0,90.0,90.0,-3.122,Ge1 Tb1 O3,8.0,65.0,57.0,24.2,19.44,8.0,29.0,87.0,58.0,73.8,17.92,87.0,15.9994,158.92535,142.92595,55.91271,47.895972,15.9994,54.8,1629.0,1574.2,600.96,655.392,54.8,3.0,16.0,13.0,13.0,4.0,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,194.0,128.0,102.4,43.68,66.0,1.21,3.44,2.23,2.708,0.8784,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,9.0,9.0,1.8,2.88,0.0,6.0,14.0,8.0,8.6,3.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.6,0.0,2.0,5.0,3.0,3.0,1.2,2.0,9.105,31.73666667,22.63166667,16.41133333,8.7676,9.105,0.0,0.383,0.383,0.0766,0.12256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,Ge3+1 Tb3+1 O2-3,-2.0,3.0,5.0,3.273268354
ErBiO3,Er,Bi,cubic,-1.46,1.225,0.0,16.569,0.0,4.359,4.359,4.359,90.0,90.0,90.0,0.529,Er1 Bi1 O3,8.0,83.0,75.0,35.0,32.4,8.0,35.0,87.0,52.0,76.4,16.56,87.0,15.9994,208.9804,192.981,84.84752,82.617744,15.9994,54.8,1770.0,1715.2,495.76,529.152,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,189.0,123.0,107.0,49.2,66.0,1.24,3.44,2.2,2.716,0.8688,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,5.2,6.24,0.0,6.0,29.0,23.0,12.2,7.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.4,0.64,0.0,2.0,3.0,1.0,2.2,0.32,2.0,9.105,32.95,23.845,18.17,10.878,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,48.4,58.24,12.0,Er3+1 Bi3+1 O2-3,-2.0,3.0,5.0,3.273268354
SbNdO3,Sb,Nd,cubic,-1.457,1.221,0.039,17.95,0.0,4.477,4.477,4.477,90.0,90.0,90.0,-5.116,Sb1 Nd1 O3,8.0,60.0,52.0,27.0,22.8,8.0,19.0,87.0,68.0,73.0,21.6,87.0,15.9994,144.242,128.2426,62.80004,56.160768,15.9994,54.8,1294.0,1239.2,472.436,501.1632,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,6.0,4.0,3.4,1.68,2.0,66.0,201.0,135.0,107.6,49.92,66.0,1.14,3.44,2.3,2.702,0.8856,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,4.0,4.0,0.8,1.28,0.0,6.0,15.0,9.0,7.8,2.88,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,3.2,0.0,2.0,10.0,8.0,3.8,2.48,2.0,9.105,34.81,25.705,18.737,11.5584,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,79.2,80.64,12.0,Sb3+1 Nd3+1 O2-3,-2.0,3.0,5.0,3.273268354
GeSmO3,Ge,Sm,cubic,-1.457,1.243,-0.022,16.819,0.0,4.381,4.381,4.381,90.0,90.0,90.0,-3.71,Ge1 Sm1 O3,8.0,62.0,54.0,23.6,18.72,8.0,23.0,87.0,64.0,72.6,19.84,87.0,15.9994,150.36,134.3606,54.19964,45.840288,15.9994,54.8,1345.0,1290.2,544.16,587.232,54.8,3.0,16.0,13.0,13.0,4.0,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,198.0,132.0,103.2,44.64,66.0,1.17,3.44,2.27,2.7,0.888,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,6.0,6.0,1.2,1.92,0.0,6.0,14.0,8.0,8.0,2.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.6,2.56,0.0,2.0,8.0,6.0,3.6,1.92,2.0,9.105,33.23,24.125,16.71,9.126,9.105,0.0,0.383,0.383,0.0766,0.12256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,85.4,88.08,12.0,Ge4+1 Sm2+1 O2-3,-2.0,4.0,6.0,3.380617019
HgDyO3,Hg,Dy,cubic,-1.457,0.649,0.233,16.261,0.0,4.332,4.332,4.332,90.0,90.0,90.0,-3.017,Hg1 Dy1 O3,8.0,80.0,72.0,34.0,31.2,8.0,31.0,87.0,56.0,72.6,17.28,87.0,15.9994,200.59,184.5906,82.21764,79.461888,15.9994,54.8,1685.0,1630.2,416.744,507.3024,54.8,3.0,16.0,13.0,12.6,4.08,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,192.0,126.0,104.4,46.08,66.0,1.22,3.44,2.22,2.708,0.8784,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,4.8,5.76,0.0,6.0,26.0,20.0,11.2,6.24,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,4.0,4.0,2.0,0.8,2.0,9.105,31.24,22.135,16.75851724,9.18422069,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,79.2,80.64,12.0,Hg0+1 Dy0+1 O0+3,0.0,0.0,0.0,0.0
HfCuO3,Hf,Cu,cubic,-1.456,1.17,0.0,9.972,0.0,3.681,3.681,3.681,90.0,90.0,90.0,-0.388,Hf1 Cu1 O3,8.0,72.0,64.0,25.0,20.4,8.0,45.0,87.0,42.0,74.0,15.6,87.0,15.9994,178.49,162.4906,58.00684,50.408928,15.9994,54.8,2506.0,2451.2,805.634,901.0008,54.8,4.0,16.0,12.0,12.6,4.08,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,175.0,109.0,101.0,42.0,66.0,1.3,3.44,2.14,2.704,0.8832,3.44,1.0,2.0,1.0,1.8,0.32,2.0,0.0,4.0,4.0,2.4,1.92,4.0,0.0,10.0,10.0,2.4,3.04,0.0,0.0,14.0,14.0,2.8,4.48,0.0,6.0,18.0,12.0,9.4,4.08,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.96,2.0,0.0,8.0,8.0,1.6,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.0,2.0,2.0,9.105,22.2,13.095,12.117,4.0332,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,Hf4+1 Cu2+1 O2-3,-2.0,4.0,6.0,3.380617019
SbLaO3,Sb,La,cubic,-1.456,1.241,-0.092,18.435,0.0,4.517,4.517,4.517,90.0,90.0,90.0,-5.407,Sb1 La1 O3,8.0,57.0,49.0,26.4,22.08,8.0,13.0,87.0,74.0,71.8,23.52,87.0,15.9994,138.90547,122.90607,61.732734,54.8800008,15.9994,54.8,1193.0,1138.2,452.236,476.9232,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,6.0,4.0,3.4,1.68,2.0,66.0,207.0,141.0,108.8,51.36,66.0,1.1,3.44,2.34,2.694,0.8952,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.2,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,7.2,3.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.6,2.16,2.0,9.105,36.8975,27.7925,19.1545,12.0594,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,79.2,80.64,12.0,Sb3+1 La3+1 O2-3,-2.0,3.0,5.0,3.273268354
